;;N°;;;Type;Date;Date;;;;;;;;;;
N° mandant;Nom court mandant;Mandataire;Nom court mandataire;PM/PP;mandat;attribution;résiliation;Motif attribution mandat;Nom contact chez le mandataire;Prénom contact;Téléfon contact;Fax contact;N° CCP;N° compte bancaire;IBAN;BIC SWIFT;Nom institution financière
-----------;------------------------------;-----------;------------------------------;-----;------;-----------;-----------;----------------------------------------;------------------------------;--------------------;----------------;----------------;---------------;--------------------;----------------------------------------;------------;--------------------------------------------------
15872;DECHARGEMENT BETTERAVES;52;FIDUCIAIRE SCHICK;ENT;G;01.04.2009;31.03.2015;;;;;;;;;;
16034;EXPORTRADE;71848;UNIFID TAX;ENT;G;01.01.2015;;;;;;;;;;;
16051;CALAO;31682;RIVAFID STE FIDUCIAIRE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
16388;CIDURES;4633;GASTROCONSULT PULLY;ETA;G;01.01.2015;;;;;;;;;;;
16483;RENOANTIC;9270;FIDEXPERT;ENT;G;01.01.2008;31.12.2014;;;;021 989'82'70;;;;-;-;-
16643;VEMO ADMINISTRATION & GESTION;7475;FIDUCIAIRE SIMPLON;ENT;G;01.01.2012;31.12.2014;;;;021 921'12'13;;;;;;
16732;INDUNI & CIE;45775;FIDUCIAIRE Y LANOIR & CIE;ENT;G;01.01.2015;;;;;;;;;;;
16833;METALEC;51575;FIDACOR;ENT;G;01.01.2007;31.12.2014;;;;021 804'88'04;;;;;;
16986;DANY & FILS DECOLLETAGE;1239;BFB FIDAM FIDUCIAIRE YVERDON;ETA;G;30.11.1993;31.12.2014;;;;021 641'46'46;;;;;;
16986;DANY & FILS DECOLLETAGE;16417;BFB FIDAM FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
17165;LATITUDES AGENCE VOYAGES;62234;JEAN CHRISTOPHE GROSS;ENT;G;01.01.2012;31.12.2014;;;;021 925'30'50;;;;;;
17327;PRAZ COTEAU;266;SCF REVISION;ENT;G;01.01.2015;;;;;;;;;;;
17815;MANUEL NIETO;4676;FIDUCIAIRE TECHNIKOR;ENT;G;01.01.2007;31.12.2015;;;;021 317'53'30;;;;;;
18134;ALAIN NAEF;37989;FIBATECH CONSEIL ENTREPRISE;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
18134;ALAIN NAEF;32965;NOFIVAL VAUD;ENT;G;01.01.2015;;;;;;;;;;;
18185;ZINGG FINANCE;127;OFICOMPTES FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
18185;ZINGG FINANCE;51599;FIDUCIAIRE FAVRE REVISION;ENT;G;01.01.2015;;;;;;;;;;;
18694;INTERNATIONAL SCHOOL LAUSANNE;36187;PRATEO CONSEIL;ENT;G;01.08.2010;31.12.2015;;;;;;;;;;
18694;INTERNATIONAL SCHOOL LAUSANNE;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
19300;AMARANTE B;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
19301;AMARANTE C;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
19844;BOISSONS RIVIERA;17481;BDO EPALINGES;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
19844;BOISSONS RIVIERA;36657;FIDEXPERT FRIBOURG;ENT;G;01.01.2015;;;;;;;;;;;
19907;RUEGGER & FILS;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;27.02.1996;24.05.2002;;;;021 323'67'83;021 323'67'73;;;-;-;-
19907;RUEGGER & FILS;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;25.05.2002;;;;;;;;;;;
20078;GARAGE DIVORNE;7554;SCF REVISION FRIBOURG;ETA;G;01.01.2015;;;;;;;;;;;
20090;CERCLE HIRAM;26505;FIDALP AUDIT CONSULTANCY;ENT;G;01.01.2015;;;;;;;;;;;
20200;UNIK RECORDS;12489;INTERCOMPTAS FIDUCIAIRE;ENT;G;01.01.2007;31.12.2014;;;;;;;;-;-;-
20714;LAURENT MEMBREZ;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
20837;FRANCEY SERVICES;7062;ERNST & YOUNG LAUSANNE;ETA;G;31.07.2015;31.12.2015;;;;;;;;;;
20847;VALLOTTON VOIRIE SERVICES;7062;ERNST & YOUNG LAUSANNE;ETA;G;30.07.2015;31.12.2015;;;;;;;;;;
20971;NAUTIQUE OUCHY;1;FIDUCIAIRE STANLEY NICOLAS;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
21063;VITO MODELS;37158;BAKER & NORTON FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
21148;HEINIGER J GARAGE;40335;FIDUCIAIRE BESSAUD;ENT;G;01.01.2015;;;;;;;;;;;
21216;PMG DECO;19341;SOFIDAD FIDUCIAIRE;ENT;G;01.01.2011;31.12.2014;;;;;;;;;;
21255;PASSEREAU B;15951;BROLLIET;ENT;G;01.01.2015;;;;;;;;;;;
21485;PROTECTAS;57803;FIDINTER FISCALITE;ENT;G;01.01.2009;31.12.2014;;;;021 614'61'61;021 614'61'60;;;;;
21485;PROTECTAS;31590;FIDUCIAIRE FIDINTER;ENT;G;01.01.2015;;;;;;;;;;;
21547;IMD INTERNATIONAL INSTITUTE;6765;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2015;;;;;;;;;;;
21664;FONDATION LONGERAIE;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2015;;;;;;;;;;;
21895;BOUCHERIE CAMPANILE A;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;27.02.1996;05.04.2004;;;;021 323'67'83;021 323'67'73;;;-;-;-
21895;BOUCHERIE CAMPANILE A;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;06.04.2004;;;;;;;;;;;
21950;TEK SUISSE;4485;EA GROUP;ENT;G;01.01.2015;;;;;;;;;;;
21954;JACQUES ROMANN;68865;FREE FIDUCIAIRE & FAMILY;ENT;G;01.01.2013;31.12.2014;;;;021 922'01'30;;;;;;
21954;JACQUES ROMANN;24994;LAURENT HAYOZ;ETA;G;01.01.2016;;;;;;;;;;;
22007;RESEAU ECHANGES DEVELOPPEMENT;2069;BFF & ASSOCIES;ENT;G;01.01.2015;;;;;;;;;;;
22188;SCHULTHESS PREVOYANCE;8540;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2013;15.07.2013;;;;;;;;;;
22758;HEMI;3662;AMETIS CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
23486;QUATRI;19963;MA FIDUCIA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
23486;QUATRI;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
23559;MATTHEY ERNEST;1821;OFISA;ENT;G;01.01.2015;;;;;;;;;;;
23674;F2FX;24326;BURNAT JEAN;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
24588;MOTO LOISIRS;6520;ARIANE FIDUCIAIRE CUENEZ;ETA;G;01.01.2009;31.12.2014;;;;;;;;;;
24588;MOTO LOISIRS;70003;FIDUCI;ENT;G;01.01.2015;;;;;;;;;;;
24796;CCRT SOLIDAIRE;67248;FIDUCIAIRE GENERALE SFG;ENT;G;01.01.2013;31.12.2014;;;;021 345'00'00;;;;;;
24801;ASSOCIATION BRANCHE;14790;MAZARS LAUSANNE;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
24801;ASSOCIATION BRANCHE;31590;FIDUCIAIRE FIDINTER;ENT;G;01.01.2015;;;;;;;;;;;
24909;SOCIETE INDUSTRIELLE NYON;9738;FIDUCIAIRE HELLER;ENT;G;01.01.2015;;;;;;;;;;;
24977;GETI TRADE;7576;ERNST & YOUNG GENEVE;ETA;G;01.01.2015;;;;;;;;;;;
25108;COMMUNAUTE SUISSE ALLEMANDE;61081;WHSCONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
25352;U15 ARCHITECTES;10358;FIDUCIAIRE OFIREX;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
25522;AXIBAT;32318;MONRIBOT JD CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
25649;LARGOS;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2009;31.12.2015;;;;021 323'67'83;;;;;;
25649;LARGOS;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
26062;SOLSTIS;58017;ILEX FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
26304;PROPRIETAIRES RIVERAINS;12281;FIDEXAUDIT;ENT;G;01.01.2015;;;;;;;;;;;
26336;ASSOCIATION AMIS MUSEE NYON;14797;MC BUREAU MARJORIE CERVASI;ETA;G;01.01.2015;;;;;;;;;;;
26389;SOUTIEN MAINTIEN DOMICILE;31590;FIDUCIAIRE FIDINTER;ENT;G;01.01.2015;;;;;;;;;;;
26682;PHARMACIE INTERHOSPITALIERE;16401;BFB FIDAM REVISION;ENT;G;01.01.2008;31.12.2014;;;;021 641'46'46;;;;;;
26877;TELE EVASION;9738;FIDUCIAIRE HELLER;ENT;G;01.01.2015;;;;;;;;;;;
27252;PRO JET;54213;ORAVA;ENT;G;01.01.2015;;;;;;;;;;;
27778;RINDLISBACHER PIERRE;1110;MCD CONSEIL;ENT;G;01.01.2005;31.12.2014;;;;;;;;-;-;-
27780;SIEGWART ARMIN ATELIER;41953;FIDUCIAIRE PAUX;ENT;G;01.01.2015;;;;;;;;;;;
27842;COJAL;14185;ATLAS PARTNERS;ENT;G;01.01.2015;;;;;;;;;;;
27958;FONDATION JEUNES COMMERCANTS;36187;PRATEO CONSEIL;ENT;G;01.01.2010;31.12.2014;;;;;;;;;;
27958;FONDATION JEUNES COMMERCANTS;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
28514;SYCOMORE;69782;FIDULINK;ENT;G;13.10.2014;31.12.2014;;;;;;;;;;
28628;JOEL MONGE;58928;FIDEO;ENT;G;01.01.2015;;;;;;;;;;;
28719;JATON GAVILLET;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
28776;WATERACTION;14631;OGISA;ENT;G;01.01.2009;31.12.2014;;;;;;;;;;
29024;FONDATION PROMOTION HOCKEY;28127;FIDASSIST;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
29277;MAISON COMMUNICATION;16401;BFB FIDAM REVISION;ENT;G;01.01.2015;;;;;;;;;;;
29398;ODYSIS;48034;FIDULEM SA;ENT;G;01.01.2015;;;;;;;;;;;
29583;DIALOGUE LOGIQUE;49198;LEMAN CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
29710;SPIRITUELLE BAHA IS LAUSANNE;12164;FIDARC ARMANDA COTTER BUREAU;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
29745;OLSY;19963;MA FIDUCIA;ENT;G;01.01.2012;31.12.2014;;;;021 886'32'80;;;;;;
29745;OLSY;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
30155;WAVECALL WIRELESS CONSULTING;59286;JC FIDUCIAIRE;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
30155;WAVECALL WIRELESS CONSULTING;60;FIDUCIAIRE DREYFUS & ZURBUCHEN;ENT;G;01.01.2015;;;;;;;;;;;
30187;HENRY ZWAHLEN DEVELOPPEMENT;959;STE CONTROLE FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
30441;NICEPHORE PROD;62234;JEAN CHRISTOPHE GROSS;ENT;G;01.01.2015;;;;;;;;;;;
30451;IMMOBILL;19963;MA FIDUCIA;ENT;G;01.01.2011;31.12.2014;;;;;;;;;;
30451;IMMOBILL;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
30477;ONLINE CONTROL;31590;FIDUCIAIRE FIDINTER;ENT;G;01.01.2006;31.12.2014;;;;021 614'61'61;;;;;;
30477;ONLINE CONTROL;9934;ABC GESTION;ENT;G;01.01.2015;;;;;;;;;;;
30491;CMM COSMETICS;22190;HUGGLER LEONARD;ETA;G;01.01.2015;;;;;;;;;;;
30628;DON CAMILLO;7563;GOMEZ JUAN FIDUCIAIRE;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
30869;BREDAM MEDICAL DISTRIBUTION;54213;ORAVA;ENT;G;01.01.2015;;;;;;;;;;;
30977;GEMADO SEPEY;44393;FIDUCIAIRE PILLOUD & GOLAY;ENT;G;01.01.2004;31.12.2014;;;;;;;;-;-;-
30977;GEMADO SEPEY;73785;CURCHOD FIDUCIAIRE CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
30997;GECIMA;56465;FIROUBA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
30997;GECIMA;2235;FIDEXPERT LAUSANNE;ENT;G;01.01.2015;;;;;;;;;;;
31019;GIOMI;70019;GSR FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
31080;DE WECK & PARTNERS;62918;FIDUCIAIRE CHRISTIAN LOCHE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
31087;LOGIREVE GESTION;2049;FIDUCIA REVISION;ENT;G;01.01.2015;;;;;;;;;;;
31165;FONDATION GRENETTE;68865;FREE FIDUCIAIRE & FAMILY;ENT;G;01.01.2015;;;;;;;;;;;
31255;D SAVARY;16160;FIDUCIAIRE SCHULE & KRIEGER;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
31295;GARAGE PLACE LARGE;46664;FIDUSWISS SOCIETE FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
31347;ANDRE LIECHTI;10499;RENE GUIGNARD FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
31480;RR SPORTS;63698;FIDUCIAIRE STAEHLI;ENT;G;01.07.2011;30.06.2014;;;;021 867'13'13;;;;;;
31640;MAI THAI TRADING;37158;BAKER & NORTON FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
31946;WEITZEL TONDEUSES SERVICE;71281;LP FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
31973;ODLANDER FREDRIKSON;7062;ERNST & YOUNG LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
32089;BOAS GESTION;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;16.07.2008;31.12.2014;;;;021 805'41'53;;;;;;
32280;CHAPELLE ROCHE;40335;FIDUCIAIRE BESSAUD;ENT;G;01.01.2015;;;;;;;;;;;
32293;ORTHO KOLLER;13;FIDUCONSULT LAUSANNE;ENT;G;26.01.1999;31.12.2014;;;;021 613'11'44;;;;-;-;-
32293;ORTHO KOLLER;37256;FIDUCONSULT FIDYVER;ENT;G;01.01.2015;;;;;;;;;;;
32588;SULLY SOUND;36187;PRATEO CONSEIL;ENT;G;01.01.2012;31.12.2015;;;;;;;;;;
32588;SULLY SOUND;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
32830;ART COM & PARTENAIRE;58928;FIDEO;ENT;G;01.01.2015;;;;;;;;;;;
32909;PARKING DUCHE;18711;CRF FIDUCIAIRE CONSEILS;ENT;G;01.01.2013;31.12.2015;;;;;;;;;;
32909;PARKING DUCHE;17481;BDO EPALINGES;ETA;G;01.01.2016;;;;;;;;;;;
33086;AVANGARDE;9641;SOLUTIONS A DUPUIS;ETA;G;01.01.2013;31.12.2014;;;;021 648'10'60;021 648'10'61;;;;;
33130;MAUERHOFER & ZUBER;12;DELOITTE LAUSANNE;ETA;G;01.01.2015;;;;;;;;;;;
33184;FORMES CONTEMPORAINES;2647;FIDUCIAIRE CHARLES MEICHTRY;ETA;G;01.01.2013;31.12.2014;;;;021 964'10'66;;;;;;
33189;EDITIONS CELLIER MANOIR;257491;Max Ditzler;IND;G;01.01.2013;31.12.2014;;;;;;;;;;
33782;GROUPE ETUDES FAUNISTIQUES;12164;FIDARC ARMANDA COTTER BUREAU;ETA;G;01.01.2006;31.12.2014;;;;;;;;-;-;-
33796;PAYOT CONSTRUCTIONS;8088;FIDUCIAIRE GUY BORLOZ;ENT;G;01.01.2011;02.01.2011;;;;;;;;;;
33796;PAYOT CONSTRUCTIONS;32318;MONRIBOT JD CABINET FISCAL;ENT;G;03.01.2011;;;;;;;;;;;
33943;RESTOROUTE BAVOIS;7316;PRICEWATERHOUSECOOPERS;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
34157;LADY NIGHT;49198;LEMAN CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
34163;ISAFLOR;215;FIDUCIAIRE MICHEL FAVRE;ENT;G;01.01.2014;31.12.2014;;;;021 651'33'00;;;;;;
34217;INFOLIO;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2005;31.12.2015;;;;021 323'67'83;;;;;;
34217;INFOLIO;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
34223;CASSAR POMPES FUNEBRES;19963;MA FIDUCIA;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
34223;CASSAR POMPES FUNEBRES;73498;DFG FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
34306;JAQUIERY ARCHITECTURE;48869;Bertrand-Michel Bochez;IND;G;01.01.2006;31.12.2014;;;;022 362'29'09;;;;-;-;-
34407;EISLER;3344;FIDJOB;ENT;G;01.01.2004;31.12.2014;;;;;;;;-;-;-
34407;EISLER;21098;BUREAU COMPTABLE SYLVIA MONTI;ETA;G;01.01.2015;;;;;;;;;;;
34579;MEDICAPITAL RENT;14935;FEHLMANN & ASSOCIES;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
34641;BOIS CHAMBLARD;20230;COFIREV BUREAU FIDUCIAIRE;ENT;G;01.01.2015;;;;;;;;;;;
34644;EUROPLANT;16045;ROLAND FALCONNIER;ETA;G;01.01.2006;31.12.2014;;;;022 364'55'52;;;;-;-;-
34644;EUROPLANT;54213;ORAVA;ENT;G;01.01.2015;;;;;;;;;;;
34687;OWI ONE WORLD INVESTMENTS;36187;PRATEO CONSEIL;ENT;G;01.01.2013;31.12.2014;;;;;;;;;;
34687;OWI ONE WORLD INVESTMENTS;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
34693;NG HOME;31183;CF COMPAGNIE FIDUCIAIRE GESTIO;ENT;G;01.01.2015;;;;;;;;;;;
34930;EK GESTION;18681;FIDUCIAIRE ENDERLI;ETA;G;01.01.2011;27.10.2015;;;;021 694'30'00;;;;;;
34971;PARKING CENTRE;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
35057;SWORD SERVICES;22560;CV CONSULTING;ETA;G;01.01.2013;31.12.2014;;;;;;;;;;
35057;SWORD SERVICES;21500;FIDUCIAIRE MULLER CHRISTE;ETA;G;01.01.2015;;;;;;;;;;;
35126;ASSOCIATION MAE MUSIQUE ART;62234;JEAN CHRISTOPHE GROSS;ENT;G;01.01.2015;;;;;;;;;;;
35307;DAFERIEN;1659;FIDUCIAIRE J INEICHEN;ENT;G;01.01.2015;;;;;;;;;;;
35376;SN SWISSNETTOYAGES;24494;SYLVIE SAINT MARC;ETA;G;01.01.2015;;;;;;;;;;;
35396;NETPROJET COM;62;SOFIDEST FIDUCIAIRE;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
35460;AGRI COM TRADING;13164;JF CONSEIL THEVOZ;ETA;G;01.01.2015;;;;;;;;;;;
35468;VAC RENE JUNOD;14468;FIREC;ENT;G;01.01.2015;;;;;;;;;;;
35667;AGRO PHARMATECH;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
35986;ZENTESS;14621;FIDUCIAIRE SAUGY;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
36075;TRANSPORT LOYAL ECOLIERS VAUD;583;FIDUCIAIRE AVONDO;ENT;G;01.01.2015;;;;;;;;;;;
36129;SAGC;36187;PRATEO CONSEIL;ENT;G;01.01.2011;31.12.2015;;;;021 721'08'60;;;;;;
36129;SAGC;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
36200;LA FERMIERE;36187;PRATEO CONSEIL;ENT;G;01.01.2010;31.12.2014;;;;021 721'08'60;;;;;;
36200;LA FERMIERE;64829;PRATEO;ENT;G;01.01.2015;;;;;;;;;;;
36275;URBASITE;1939;AUDICT FIDUCIAIRE;ENT;G;01.01.2009;31.12.2014;;;;021 721'14'00;;;;;;
36287;QUARTAL;2647;FIDUCIAIRE CHARLES MEICHTRY;ETA;G;14.03.2001;31.12.2014;;;;021 964'10'66;;;;-;-;-
36294;JUILLARD TECHNIQUE;32318;MONRIBOT JD CABINET FISCAL;ENT;G;01.01.2015;;;;;;;;;;;
36471;FONDATION INTERTERRA PARKING;17481;BDO EPALINGES;ETA;G;01.01.2015;;;;;;;;;;;
36480;REDESO;26505;FIDALP AUDIT CONSULTANCY;ENT;G;01.01.2015;;;;;;;;;;;
36602;SOCODEFI;13164;JF CONSEIL THEVOZ;ETA;G;01.01.2015;;;;;;;;;;;
36611;PHYTOSAN NATURE;9641;SOLUTIONS A DUPUIS;ETA;G;01.01.2015;;;;;;;;;;;
36897;CHOICE PHARMA SWITZERLAND;1108;FIDUCIAIRE INTERMANDAT;ENT;G;01.01.2008;31.12.2014;;;;021 340'69'10;;;;;;
36972;BUREAU INGENIEURS HENRI PIGUET;20230;COFIREV BUREAU FIDUCIAIRE;ENT;G;01.01.2004;31.12.2014;;;;021 809'42'27;;;;-;-;-
36972;BUREAU INGENIEURS HENRI PIGUET;134427;Nils Piguet;IND;G;01.01.2015;;;;;;;;;;;
37078;LEMANSHOP;36657;FIDEXPERT FRIBOURG;ENT;G;01.01.2015;;;;;;;;;;;
37146;BCR;9270;FIDEXPERT;ENT;G;01.01.2011;31.12.2014;;;;;;;;;;
37193;CARONAH;36187;PRATEO CONSEIL;ENT;G;01.01.2010;31.12.2015;;;;;;;;;;
37193;CARONAH;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
37248;MARIONNAUD SWITZERLAND;47122;KMU TREUHAND & REVISIONS;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
37312;ABRAXAS CARI;15316;OBT;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
37644;EERV PAROISSE BALCON JURA;4988;FIDUCIAIRE CALAME;ENT;G;01.01.2015;;;;;;;;;;;
37653;GSB MANAGEMENT CONTROLLING;67248;FIDUCIAIRE GENERALE SFG;ENT;G;01.01.2015;;;;;;;;;;;
37964;CITCO GROUP GRAND CAYMAN;16291;ETUDE OBERSON AVOCATS;ETA;G;01.01.2007;31.12.2014;;;;;;;;-;-;-
37964;CITCO GROUP GRAND CAYMAN;24565;OBERSON ABELS;ETA;G;01.01.2015;;;;;;;;;;;
38040;COMPUTER FARM;47926;FGS FIDUCIAIRE SICURANZA;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
38115;CSM DEVELOPPEMENT;63698;FIDUCIAIRE STAEHLI;ENT;G;01.01.2015;;;;;;;;;;;
38211;IT ENERGIE CONSEIL ITEC;36187;PRATEO CONSEIL;ENT;G;01.01.2007;31.12.2015;;;;021 721'08'60;;;;-;-;-
38211;IT ENERGIE CONSEIL ITEC;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
38214;DADCO PROPERTY;36187;PRATEO CONSEIL;ENT;G;01.01.2009;31.12.2015;;;;021 721'08'60;;;;;;
38214;DADCO PROPERTY;64829;PRATEO;ENT;G;01.01.2016;;;;;;;;;;;
38383;SRS SWISS RECYCLING SERVICES;7062;ERNST & YOUNG LAUSANNE;ETA;G;31.07.2015;31.12.2015;;;;;;;;;;
38469;FUN LOISIRS;40335;FIDUCIAIRE BESSAUD;ENT;G;01.01.2015;;;;;;;;;;;
38519;CENTRE ESSAIS FORMATION;959;STE CONTROLE FIDUCIAIRE;ETA;G;01.01.2005;31.12.2014;;;;;;;;;;
38519;CENTRE ESSAIS FORMATION;16;SCF REVISION;ETA;G;01.01.2015;;;;;;;;;;;
38537;ATL HABITAT;5458;FIDUCIAIRE DANIEL HEIZ;ENT;G;01.01.2014;31.12.2014;;;;024 447'21'21;;;;;;
38537;ATL HABITAT;55531;ART FID;ENT;G;01.01.2015;;;;;;;;;;;
38684;FORET 2000;60652;VFM CONSEIL;ENT;G;01.01.2015;;;;;;;;;;;
38899;CONTRASTE COIFFURE;36108;GUEDON FRANCOIS FIDUCIAIRE;ENT;G;01.01.2007;31.12.2014;;;;021 343'43'13;;;;;;
38902;ALLTITUDE;21519;ME NICOLAS URECH AVOCAT;ETA;G;01.01.2014;31.12.2014;;;;;;;;;;
38902;ALLTITUDE;9738;FIDUCIAIRE HELLER;ENT;G;01.01.2015;;;;;;;;;;;
39112;BOWLING PARC;21406;FIDUTRUST GESTION & CONSEILS;ENT;G;01.01.2015;;;;;;;;;;;
39137;DOMAINE ESPERSIERS;16123;JORDAN FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;026 322'36'42;;;;;;
39165;SCULPTURES ANDRE PIRLOT;18993;ERIC BINGISSER;ETA;G;01.01.2015;;;;;;;;;;;
39184;KRISS SYSTEMS;1960;FIDINTER;ENT;G;01.01.2015;;général;;;021 914'61'61;;;;;;
39277;PITTET & MAGNENAT;511;FIDUCIAIRE JAQUES;ENT;G;01.01.2009;31.12.2014;;;;;;;;;;
39351;ODETE TRADING;44393;FIDUCIAIRE PILLOUD & GOLAY;ENT;G;01.01.2012;31.12.2014;;;;021 861'28'94;;;;;;
39351;ODETE TRADING;24272;PILLOUD CHRISTIAN;ETA;G;01.01.2015;;;;;;;;;;;
39437;AUTO SHOP TREVELIN;40367;FIDUCIAIRE JAG GILLIERON;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
39437;AUTO SHOP TREVELIN;70044;FIDUCIAIRE LEMANIQUE;ENT;G;01.01.2015;;;;;;;;;;;
39468;BIOID TECHNOLOGIES;37725;SYNERGIX;ENT;G;01.01.2015;;;;;;;;;;;
39616;AUBERGE & PINTE FROMAGES LAC;7563;GOMEZ JUAN FIDUCIAIRE;ETA;G;01.01.2015;;;;;;;;;;;
39684;FONDATION COLIVER;1671;FIDUCIAIRE COMMERCE INDUSTRIE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
39728;LOGIFLEET;15151;LEXARTIS;ETA;G;01.01.2015;;;;;;;;;;;
39733;LE GITE PETITE MAISON FROMAGE;30002;DOXIOR CABINET FIDUCIAIRE;ENT;G;01.01.2014;31.12.2014;;;;;;;;;;
39744;FALCO;1939;AUDICT FIDUCIAIRE;ENT;G;01.01.2010;31.12.2014;;;;021 721'14'00;;;;;;
39783;BVA MARKETING DIRECT;1960;FIDINTER;ENT;G;01.01.2010;30.09.2014;;;;021 614'61'61;;;;;;
39796;DIEFFENBACHER;149812;Evelyne Aebi;IND;G;01.01.2013;31.12.2014;;;;;;;;;;
39796;DIEFFENBACHER;15187;AGS BUREAU COMPTABLE CACHIN;ETA;G;01.01.2015;;;;;;;;;;;
39935;REMY GAILLARD;6071;VELEDES FIDUCIAIRE ANCIEN;ETA;G;01.01.2002;31.12.2015;;;;021 323'67'83;;;;-;-;-
39935;REMY GAILLARD;35201;FIDUCIAIRE VELEDES LAUSANNE;ENT;G;01.01.2016;;;;;;;;;;;
40001;BLANCHINET;46887;TERTIANUM ROMANDIE MANAGEMENT;ENT;G;01.01.2007;31.12.2014;;;;;;;;-;-;-
40001;BLANCHINET;32089;BOAS GESTION;ENT;G;01.01.2015;;;;;;;;;;;
40012;MANESKI CONSTRUCTION;37879;FIDUCIAIRE PROCOMPTEX;ENT;G;01.01.2012;31.12.2014;;;;;;;;;;
40012;MANESKI CONSTRUCTION;46706;SOLVENS;ENT;G;01.01.2015;;;;;;;;;;;
