47;179949
79;290939
89;54020
108;19593
127;277977
130;103772
200;20249
205;290950
209;22870
220;116904
275;65994
351;292784
377;278955
396;27820
411;4626
480;93475
535;277975
541;280234
545;272329
559;224880
579;104787
590;132780
591;291385
600;72079
614;282930
626;34282
656;36730
662;33901
692;36072
692;151424
729;290696
744;90883
772;292407
848;280532
884;145289
906;281195
984;163830
1047;51640
1052;96741
1071;51772
1131;210471
1133;121096
1135;144185
1142;280271
1157;4189
1161;230650
1185;80322
1212;158577
1215;279761
1286;16438
1296;259993
1420;291789
1472;19356
1487;49557
1498;281088
1521;130524
1523;38997
1526;39110
1537;176400
1544;86134
1625;13340
1627;277467
1673;292875
1688;10510
1738;292938
1740;282712
1755;251950
1785;64092
1794;235245
1820;14826
1864;12882
1901;282444
1945;229261
1982;206334
2026;204960
2058;291113
2072;254290
2241;283042
2258;231932
2347;293107
2373;292153
2431;277581
2439;22225
2444;254975
2467;279224
2479;25259
2482;279440
2483;23329
2501;9717
2531;120324
2536;195863
2546;49590
2570;103799
2572;24481
2643;22799
2656;45470
2659;159646
2731;292180
2758;122033
2778;247294
2820;17060
2843;20834
2859;174998
2927;23990
2969;293216
2992;265195
3086;47082
3088;139939
3114;188522
3129;291660
3152;54704
3250;280927
3251;206849
3273;107042
3306;116262
3368;56960
3408;98302
3447;213373
3480;142956
3591;101745
3621;282352
3624;290768
3682;292230
3851;29750
3853;125032
3861;160172
3862;33499
3876;73180
3877;279536
3891;281621
3894;47201
3913;279169
3929;138037
3933;38296
3933;292425
3970;2682
3985;119946
3999;84565
4019;277536
4037;72885
4099;282594
4141;280067
4142;17426
4158;293404
4159;20990
4169;58238
4198;262013
4200;291632
4273;186872
4279;17736
4303;197998
4347;45616
4349;292336
4396;144096
4409;118109
4431;280565
4432;274623
4439;173185
4501;163783
4595;271969
4715;281660
4747;291711
4760;77682
4777;279449
4780;164216
4787;110019
4802;39284
4803;291132
4805;147427
4833;281655
4834;278706
4839;280465
4871;292333
4906;264822
4915;49573
4963;176702
4969;233870
5020;87750
5031;57053
5036;21130
5064;265497
5065;150991
5069;279159
5131;41971
5181;143120
5230;190896
5254;91480
5264;3158
5300;104019
5319;129232
5327;48755
5384;49298
5396;125342
5443;51721
5471;249076
5479;273309
5483;85383
5520;172766
5573;14613
5674;282360
5695;216291
5756;5134
5767;281543
5814;6840
5828;8575
