# Extraction des données de départ
#
# SELECT TIERS_ID, DATE_OUVERTURE FROM UNIREG.FOR_FISCAL
# WHERE ANNULATION_DATE IS NULL
# AND TIERS_ID < 100000
# AND TYPE_AUT_FISC='COMMUNE_HC'
# AND DATE_OUVERTURE > 20090101
# UNION
# SELECT TIERS_ID, TO_NUMBER(TO_CHAR(TO_DATE(DATE_FERMETURE, 'YYYYMMDD') + 1, 'YYYYMMDD')) FROM UNIREG.FOR_FISCAL
# WHERE ANNULATION_DATE IS NULL
# AND TIERS_ID < 100000
# AND DATE_FERMETURE IS NOT NULL
# AND TYPE_AUT_FISC='COMMUNE_OU_FRACTION_VD'
# AND MOTIF_FERMETURE = 'DEPART_HC'
# AND DATE_FERMETURE >= 20090101;
#
TIERS_ID;DATE_OUVERTURE
26;20121219
35;20090605
35;20120731
40;20160101
45;20100721
84;20091109
208;20111104
208;20170313
217;20091006
247;20110621
249;20130502
262;20090806
266;20140226
281;20170419
285;20140625
361;20130902
528;20131120
561;20170101
577;20160101
609;20100712
657;20131217
691;20110615
735;20101126
746;20090821
778;20140113
848;20120423
848;20121115
860;20161212
862;20140826
931;20090109
988;20101206
994;20090902
1013;20091002
1013;20140101
1094;20090825
1234;20130409
1234;20150105
1235;20090105
1273;20091014
1328;20170101
1342;20130221
1432;20100730
1596;20090327
1635;20110722
1647;20160101
1653;20131004
1687;20160825
1693;20121001
1718;20160823
1719;20130107
1740;20090716
1799;20111216
1856;20111223
1913;20100706
2022;20160128
2090;20130524
2125;20121221
2149;20110523
2154;20091005
2220;20170101
2255;20170424
2260;20160101
2309;20100901
2309;20121214
2389;20170101
2436;20141121
2506;20101209
2613;20120207
2667;20110106
2706;20161021
2747;20131217
2747;20140101
2761;20100101
2802;20090910
2802;20110101
2852;20131217
2929;20100531
2943;20161223
2948;20131217
2957;20131217
3002;20160621
3018;20121210
3054;20090326
3063;20140512
3086;20140123
3137;20140711
3141;20141029
3162;20110101
3211;20090327
3214;20090327
3237;20110411
3252;20121221
3252;20170101
3310;20151221
3342;20141022
3372;20100427
3387;20150410
3413;20100225
3500;20170101
3575;20130327
3614;20100226
3618;20160101
3660;20090130
3786;20170101
3797;20100506
3860;20120120
3905;20100630
3927;20160405
4006;20160101
4093;20111219
4093;20160420
4110;20101006
4211;20130104
4256;20130529
4370;20160303
4393;20090925
4393;20100121
4393;20111024
